index,gender,Annual_income,income_type,Education,family_type,house_type,DAYS_BIRTH,working_day,FLAG_MOBIL,work_phone,phone,email,occyp_type,begin_month,car_reality,credit
838,F,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14133,-1214,1,0,0,0,Medicine staff,-18.0,0,2.0
839,F,252000.0,Commercial associate,Higher education,Married,House / apartment,-15034,-444,1,0,0,0,Managers,-11.0,2,2.0
840,F,405000.0,Working,Secondary / secondary special,Married,Rented apartment,-13810,-1678,1,1,1,1,Core staff,-28.0,1,2.0
841,F,191250.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20304,-8171,1,0,1,0,Laborers,-48.0,0,2.0
842,F,112500.0,State servant,Higher education,Married,House / apartment,-11648,-3243,1,0,0,0,Core staff,-56.0,1,1.0
843,M,180000.0,Working,Secondary / secondary special,Married,House / apartment,-9930,-2324,1,0,0,1,Laborers,-56.0,0,2.0
844,F,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14746,-693,1,0,0,0,,-19.0,1,2.0
845,F,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13116,-857,1,0,0,0,,-9.0,1,2.0
846,F,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22034,0,1,0,0,0,,-53.0,1,2.0
847,M,360000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-9434,-1261,1,1,0,0,,-39.0,1,1.0
848,M,427500.0,Working,Higher education,Married,House / apartment,-16691,-1565,1,1,0,0,Managers,-44.0,1,2.0
849,M,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-12240,-4663,1,0,0,0,Core staff,-24.0,1,2.0
850,F,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-13556,-2966,1,0,0,0,Managers,-6.0,0,2.0
851,F,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17427,0,1,0,0,0,,-22.0,1,2.0
852,M,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17452,-3913,1,1,1,0,Drivers,-2.0,1,1.0
853,F,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-15208,-3993,1,1,1,0,Managers,-5.0,1,2.0
854,F,207000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17325,-764,1,0,1,0,,-17.0,2,1.0
855,M,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13805,-1557,1,0,0,0,Laborers,-14.0,2,0.0
856,F,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23579,0,1,0,0,0,,-42.0,1,1.0
857,F,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15231,-8375,1,0,0,1,High skill tech staff,-25.0,1,2.0
858,F,139500.0,Working,Incomplete higher,Married,With parents,-13166,-2988,1,1,1,0,Core staff,-59.0,0,2.0
859,F,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22286,0,1,0,0,0,,-55.0,1,2.0
860,F,58500.0,Pensioner,Higher education,Married,House / apartment,-20657,0,1,0,0,0,,-12.0,1,2.0
861,F,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,-6.0,2,1.0
862,F,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24651,0,1,0,0,0,,-9.0,1,2.0
863,M,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12912,-3403,1,0,0,1,Drivers,-8.0,2,2.0
864,F,270000.0,Working,Higher education,Single / not married,House / apartment,-10679,-1195,1,0,0,0,,-34.0,2,2.0
865,F,112500.0,Working,Higher education,Married,House / apartment,-10638,-993,1,0,0,0,Sales staff,-29.0,1,2.0
866,F,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10989,-135,1,1,1,0,,-57.0,1,1.0
867,M,382500.0,Working,Higher education,Married,House / apartment,-11864,-1748,1,0,1,0,IT staff,-47.0,2,1.0
868,M,112500.0,Commercial associate,Higher education,Married,House / apartment,-21013,-2196,1,1,0,0,,0.0,1,1.0
869,F,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11088,-1447,1,0,1,0,Cooking staff,-3.0,1,1.0
870,M,225000.0,Commercial associate,Higher education,Married,House / apartment,-14869,-229,1,0,0,1,,-28.0,2,2.0
871,F,202500.0,Working,Higher education,Married,House / apartment,-10669,-1495,1,0,0,0,,-7.0,1,1.0
872,M,198000.0,Pensioner,Higher education,Married,House / apartment,-24662,0,1,0,0,0,,-37.0,1,2.0
873,M,180000.0,Working,Higher education,Separated,House / apartment,-12330,-5466,1,0,0,0,Laborers,-26.0,1,2.0
874,F,180000.0,Working,Higher education,Married,House / apartment,-9948,-704,1,0,0,0,Accountants,-44.0,0,0.0
875,M,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15328,-2578,1,0,0,0,Security staff,-18.0,1,2.0
876,F,157500.0,Working,Higher education,Married,House / apartment,-9766,-2696,1,1,0,0,Sales staff,-13.0,2,2.0
877,M,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-12240,-4663,1,0,0,0,Core staff,-24.0,1,2.0
878,M,135000.0,Working,Higher education,Married,House / apartment,-17367,-4546,1,0,0,0,High skill tech staff,-23.0,1,2.0
879,F,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21688,0,1,0,1,0,,-30.0,0,1.0
880,F,171000.0,Working,Higher education,Separated,House / apartment,-19484,-5520,1,0,0,1,Core staff,-3.0,1,1.0
881,M,135000.0,Working,Higher education,Married,House / apartment,-12725,-1631,1,0,0,0,Core staff,-36.0,1,2.0
882,F,405000.0,State servant,Higher education,Single / not married,House / apartment,-20052,-980,1,0,1,0,Managers,-11.0,1,1.0
883,F,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-11375,-1236,1,0,0,0,Sales staff,-10.0,1,2.0
884,F,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23768,0,1,0,0,0,,-22.0,2,1.0
885,M,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15228,-4452,1,0,0,0,,-25.0,1,2.0
886,M,135000.0,Working,Higher education,Married,House / apartment,-15519,-2026,1,1,0,0,,-18.0,1,2.0
887,M,81000.0,State servant,Secondary / secondary special,Married,House / apartment,-13276,-5581,1,1,0,0,Core staff,-34.0,2,2.0
888,F,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,-3.0,1,0.0
889,F,126000.0,Working,Secondary / secondary special,Married,House / apartment,-11461,-1204,1,1,1,0,Cleaning staff,-11.0,1,0.0
890,F,90000.0,Working,Secondary / secondary special,Married,House / apartment,-17969,-3573,1,0,0,0,Sales staff,-5.0,1,2.0
891,F,139500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9302,-837,1,0,0,0,,-4.0,1,2.0
892,F,292500.0,Commercial associate,Higher education,Single / not married,House / apartment,-10533,-2317,1,1,0,0,Managers,-13.0,1,1.0
893,M,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Laborers,-13.0,1,2.0
894,F,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10710,-2351,1,0,0,0,Sales staff,-20.0,1,2.0
895,M,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-14038,-6558,1,1,1,0,Core staff,-34.0,1,2.0
896,F,144000.0,Commercial associate,Higher education,Married,House / apartment,-16830,-3458,1,0,0,0,,-57.0,1,2.0
897,M,540000.0,Commercial associate,Higher education,Married,House / apartment,-17249,-1688,1,0,0,0,Laborers,-34.0,1,2.0
898,F,360000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18577,-2441,1,0,0,0,Accountants,-42.0,1,2.0
899,M,180000.0,Working,Incomplete higher,Married,House / apartment,-12463,-2170,1,1,0,0,Laborers,-3.0,1,1.0
900,F,180000.0,Working,Higher education,Married,House / apartment,-9190,-933,1,0,0,1,Core staff,-9.0,1,2.0
901,M,83250.0,Working,Secondary / secondary special,Married,House / apartment,-18700,-7536,1,0,0,0,,-46.0,2,1.0
902,F,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15836,-3034,1,0,0,0,,-8.0,1,2.0
903,M,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,-14542,-444,1,1,1,1,,-30.0,1,1.0
904,M,157500.0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-8466,-1236,1,0,0,0,Laborers,-5.0,1,2.0
905,F,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24311,0,1,0,1,0,,-20.0,1,0.0
906,F,360000.0,Commercial associate,Higher education,Married,House / apartment,-18291,-198,1,0,1,1,,-34.0,1,2.0
907,M,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15702,-2415,1,0,0,0,Drivers,-44.0,2,2.0
908,F,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10456,-1953,1,1,0,0,Medicine staff,-19.0,0,2.0
909,F,126000.0,Working,Secondary / secondary special,Married,House / apartment,-10020,-1587,1,1,1,0,Sales staff,-9.0,1,2.0
910,M,202500.0,Working,Secondary / secondary special,Married,Municipal apartment,-16896,-354,1,0,1,0,Sales staff,-50.0,2,2.0
911,M,225000.0,Working,Secondary / secondary special,Married,Office apartment,-15092,-995,1,0,0,1,Drivers,-53.0,1,1.0
912,F,76500.0,Working,Secondary / secondary special,Married,House / apartment,-12380,-2287,1,1,1,0,High skill tech staff,-39.0,2,2.0
913,F,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-9718,-200,1,1,1,0,Core staff,-2.0,1,1.0
914,M,360000.0,Working,Secondary / secondary special,Married,House / apartment,-20186,-827,1,0,0,0,Laborers,-7.0,2,2.0
915,M,270000.0,Working,Higher education,Married,House / apartment,-10942,-412,1,0,0,0,Drivers,-26.0,2,2.0
916,F,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12760,-1518,1,0,0,0,,-41.0,1,2.0
917,F,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523,-3420,1,0,0,0,Core staff,-45.0,1,2.0
918,M,87448.5,Working,Secondary / secondary special,Married,House / apartment,-12034,-139,1,1,0,0,,-28.0,1,0.0
919,F,180000.0,Commercial associate,Higher education,Married,House / apartment,-12953,-306,1,1,1,0,,-50.0,2,1.0
920,F,391500.0,Working,Secondary / secondary special,Married,House / apartment,-16995,-7264,1,0,0,0,Core staff,-42.0,2,2.0
921,F,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16965,-928,1,0,0,0,Accountants,-36.0,1,1.0
922,F,126000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10302,-734,1,0,0,0,Core staff,-28.0,2,2.0
923,M,157500.0,Commercial associate,Higher education,Married,With parents,-14192,-626,1,0,0,0,Drivers,-28.0,2,2.0
924,M,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14346,-302,1,0,0,0,,-29.0,1,2.0
925,M,202500.0,Pensioner,Higher education,Married,House / apartment,-23636,0,1,0,0,0,,-14.0,2,2.0
926,F,144000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-13095,-3716,1,1,1,0,Medicine staff,-36.0,2,1.0
927,F,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18506,-3630,1,0,0,0,Core staff,-47.0,1,2.0
928,F,130500.0,Working,Secondary / secondary special,Married,House / apartment,-15436,-3476,1,0,0,0,Sales staff,-13.0,0,2.0
929,M,315000.0,Commercial associate,Incomplete higher,Married,House / apartment,-21572,-2170,1,0,0,0,Secretaries,-8.0,2,0.0
930,F,90000.0,Working,Higher education,Married,House / apartment,-13682,-6105,1,0,0,0,,-48.0,1,0.0
931,F,202500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-21381,-156,1,0,0,0,Managers,-50.0,0,2.0
932,F,157500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22362,0,1,0,0,0,,-8.0,1,2.0
933,F,157500.0,Working,Higher education,Single / not married,House / apartment,-22235,-10600,1,0,0,0,Laborers,-47.0,1,1.0
934,F,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10992,-203,1,0,0,0,Laborers,-4.0,1,1.0
935,F,90000.0,Working,Higher education,Single / not married,With parents,-8594,-195,1,1,0,0,Secretaries,-9.0,0,2.0
936,M,315000.0,Working,Higher education,Married,House / apartment,-10993,-949,1,1,0,0,,-28.0,0,2.0
937,M,135000.0,Working,Incomplete higher,Married,House / apartment,-9746,-250,1,0,0,0,Sales staff,-23.0,2,1.0
938,F,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15100,-3500,1,0,0,0,Cooking staff,-32.0,0,2.0
939,M,126000.0,Working,Secondary / secondary special,Married,House / apartment,-10324,-513,1,1,1,0,Laborers,-33.0,1,2.0
940,M,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-14118,-3174,1,0,0,0,Laborers,-16.0,0,2.0
941,M,716323.5,State servant,Secondary / secondary special,Single / not married,With parents,-9377,-2433,1,0,0,0,Laborers,-35.0,0,2.0
942,M,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-17054,-712,1,0,1,0,Security staff,-53.0,1,2.0
943,F,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-19598,-11940,1,0,1,0,Medicine staff,-2.0,1,1.0
944,F,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21121,0,1,0,0,0,,-10.0,1,2.0
945,M,157500.0,Working,Higher education,Separated,With parents,-10862,-1160,1,1,1,0,Laborers,-23.0,0,2.0
946,F,193500.0,Pensioner,Incomplete higher,Widow,House / apartment,-24295,0,1,0,0,0,,-4.0,1,2.0
947,F,675000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18802,-913,1,0,0,0,,-14.0,2,0.0
948,F,85500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10217,-900,1,1,0,0,Accountants,-20.0,0,2.0
949,F,360000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18577,-2441,1,0,0,0,Accountants,0.0,1,1.0
950,F,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-21878,-7851,1,0,0,0,Cleaning staff,-55.0,1,1.0
951,F,360000.0,Working,Secondary / secondary special,Married,House / apartment,-15864,-2696,1,0,1,0,High skill tech staff,-7.0,1,2.0
952,M,270000.0,Working,Secondary / secondary special,Married,With parents,-11768,-622,1,1,1,0,Laborers,-46.0,0,2.0
953,F,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20302,0,1,0,1,0,,-10.0,0,1.0
954,M,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13246,-2659,1,0,0,1,,-24.0,1,2.0
955,F,270000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-16999,-1140,1,1,1,0,Sales staff,-15.0,0,0.0
956,F,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23770,0,1,0,0,0,,-20.0,1,2.0
957,F,126000.0,Pensioner,Higher education,Single / not married,House / apartment,-24914,0,1,0,0,0,,-51.0,0,0.0
958,F,103500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18292,-638,1,1,1,0,Laborers,-4.0,1,0.0
959,F,990000.0,State servant,Higher education,Married,House / apartment,-22635,-2357,1,1,1,0,Core staff,-7.0,0,2.0
960,M,225000.0,Working,Secondary / secondary special,Married,House / apartment,-15210,-4707,1,0,0,1,Security staff,-39.0,2,2.0
961,F,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-14683,-5355,1,0,0,0,Sales staff,-35.0,2,1.0
962,F,67500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21472,-9575,1,1,0,0,,-45.0,1,2.0
963,M,315000.0,Working,Secondary / secondary special,Married,House / apartment,-18213,-1151,1,1,0,0,Managers,-22.0,2,2.0
964,F,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,-12461,-714,1,0,1,0,Medicine staff,-33.0,0,2.0
965,F,189000.0,Commercial associate,Higher education,Married,House / apartment,-10408,-218,1,0,0,0,Sales staff,-20.0,1,1.0
966,F,76500.0,Pensioner,Higher education,Married,House / apartment,-20833,0,1,0,0,0,,-59.0,0,2.0
967,M,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11101,-96,1,1,0,0,Security staff,-10.0,0,2.0
968,F,67500.0,Working,Secondary / secondary special,Married,House / apartment,-19766,-5764,1,0,0,0,Medicine staff,-31.0,1,2.0
969,M,180000.0,Working,Secondary / secondary special,Married,House / apartment,-12488,-747,1,0,0,1,Laborers,-38.0,2,2.0
970,F,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14279,-2939,1,0,0,0,Sales staff,-43.0,1,2.0
971,F,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10112,-3170,1,1,1,0,Laborers,-50.0,1,2.0
972,F,202500.0,Pensioner,Lower secondary,Single / not married,House / apartment,-21304,0,1,0,0,0,,-16.0,1,2.0
973,F,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12309,-1962,1,0,0,0,,-19.0,1,1.0
974,M,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24086,0,1,0,1,0,,-3.0,1,1.0
975,F,274500.0,Working,Higher education,Married,House / apartment,-21295,-2847,1,0,0,0,Accountants,-21.0,1,0.0
976,M,157500.0,Working,Secondary / secondary special,Married,House / apartment,-21867,-3611,1,0,0,0,Laborers,-13.0,1,1.0
977,F,225000.0,Working,Higher education,Married,House / apartment,-12322,-3717,1,0,0,0,Core staff,-21.0,2,0.0
978,M,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20301,0,1,0,0,0,,-4.0,1,2.0
979,F,247500.0,Working,Secondary / secondary special,Married,House / apartment,-13146,-1283,1,0,0,0,Managers,-14.0,1,2.0
980,F,157500.0,Working,Higher education,Married,House / apartment,-15898,-1679,1,1,0,0,Accountants,-39.0,0,1.0
981,F,108000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23044,0,1,0,1,0,,-59.0,1,0.0
982,F,270000.0,State servant,Higher education,Married,House / apartment,-16053,-7369,1,1,1,0,,-35.0,1,0.0
983,F,225000.0,Working,Higher education,Married,Co-op apartment,-15377,-341,1,0,0,0,Laborers,-29.0,1,1.0
984,M,315000.0,Working,Secondary / secondary special,Married,House / apartment,-13062,-501,1,0,1,0,Drivers,-5.0,1,0.0
985,F,108000.0,Working,Secondary / secondary special,Widow,House / apartment,-12587,-3626,1,0,0,1,Sales staff,-33.0,0,2.0
986,M,315000.0,Working,Secondary / secondary special,Married,House / apartment,-18213,-1151,1,1,0,0,Managers,-20.0,2,2.0
987,F,103500.0,Working,Secondary / secondary special,Married,With parents,-13674,-4491,1,0,0,0,Laborers,-14.0,0,2.0
988,M,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11507,-1318,1,1,1,0,Laborers,-6.0,2,2.0
989,F,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24665,0,1,0,0,0,,-35.0,1,2.0
990,M,67500.0,Pensioner,Lower secondary,Married,House / apartment,-24500,0,1,0,0,0,,-23.0,1,1.0
991,F,202500.0,Pensioner,Lower secondary,Single / not married,House / apartment,-21304,0,1,0,0,0,,-7.0,1,2.0
992,F,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17579,-1904,1,1,0,0,Laborers,-59.0,1,0.0
993,F,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14948,-4881,1,0,0,0,Laborers,-4.0,1,2.0
994,F,180000.0,Commercial associate,Higher education,Married,House / apartment,-11719,-2866,1,0,1,1,,-17.0,2,2.0
995,F,67500.0,Working,Secondary / secondary special,Married,With parents,-17206,-1401,1,0,0,0,Laborers,-43.0,2,2.0
996,F,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20612,0,1,0,0,0,,-30.0,1,2.0
997,F,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20870,-1583,1,0,0,0,Medicine staff,-36.0,1,2.0
998,M,157500.0,Working,Higher education,Married,House / apartment,-11380,-1734,1,0,0,0,Managers,-6.0,2,2.0
999,M,90000.0,Working,Secondary / secondary special,Married,House / apartment,-12838,-672,1,0,0,0,Drivers,-26.0,0,0.0
1000,F,306000.0,State servant,Higher education,Married,House / apartment,-12677,-5587,1,0,0,0,Medicine staff,-48.0,0,1.0
1001,F,247500.0,Working,Secondary / secondary special,Married,House / apartment,-16391,-1601,1,0,0,0,Security staff,-8.0,2,2.0
1002,F,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13865,-1682,1,0,1,0,Sales staff,-4.0,2,1.0
1003,F,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,-28.0,2,2.0
1004,F,135000.0,Commercial associate,Secondary / secondary special,Married,With parents,-11034,-2421,1,0,0,0,Laborers,-18.0,1,1.0
1005,F,135000.0,Pensioner,Lower secondary,Married,House / apartment,-22569,0,1,0,0,0,,-20.0,1,2.0
1006,M,225000.0,Commercial associate,Higher education,Married,House / apartment,-14869,-229,1,0,0,1,,-48.0,2,2.0
1007,F,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23595,0,1,0,1,0,,-8.0,1,2.0
1008,F,56250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23843,0,1,0,1,0,,-6.0,1,2.0
1009,F,99000.0,Working,Higher education,Married,House / apartment,-14661,-5521,1,0,0,0,,-12.0,0,2.0
1010,M,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14893,-2604,1,0,0,0,Laborers,-36.0,2,0.0
1011,M,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10676,-2326,1,0,1,1,Laborers,-11.0,1,1.0
1012,F,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19949,0,1,0,0,0,,-39.0,2,1.0
1013,M,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15980,-119,1,1,1,0,Drivers,-42.0,1,2.0
1014,M,202500.0,Working,Secondary / secondary special,Married,House / apartment,-18613,-3883,1,0,0,0,Laborers,-12.0,2,2.0
1015,F,144000.0,Working,Secondary / secondary special,Married,House / apartment,-14494,-308,1,1,0,0,,-2.0,0,1.0
1016,M,135000.0,Working,Incomplete higher,Married,House / apartment,-13524,-1293,1,0,1,0,,-37.0,1,2.0
1017,M,360000.0,Working,Higher education,Civil marriage,House / apartment,-11841,-3092,1,1,0,0,Managers,-39.0,1,2.0
1018,F,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11598,-2330,1,0,0,0,,-5.0,1,2.0
1019,F,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-20542,-9422,1,0,1,0,Core staff,-40.0,1,1.0
1020,F,135000.0,State servant,Higher education,Separated,House / apartment,-16493,-9255,1,0,0,0,Core staff,-4.0,1,2.0
1021,F,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17822,-1730,1,0,0,0,Managers,-15.0,1,0.0
1022,F,171000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-17597,0,1,0,0,0,,-6.0,1,1.0
1023,F,202500.0,Working,Incomplete higher,Married,House / apartment,-10746,-1100,1,0,1,0,Sales staff,-40.0,1,2.0
1024,M,450000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-10363,-1282,1,0,0,0,Managers,-7.0,1,0.0
1025,F,157500.0,Working,Higher education,Civil marriage,With parents,-8238,-674,1,0,0,0,Accountants,-17.0,1,1.0
1026,M,225000.0,Pensioner,Higher education,Married,House / apartment,-23899,0,1,0,0,0,,-10.0,2,1.0
1027,F,450000.0,State servant,Higher education,Married,House / apartment,-19737,-5359,1,0,0,0,,-49.0,2,0.0
1028,F,247500.0,Commercial associate,Higher education,Married,House / apartment,-11914,-2980,1,0,0,0,Sales staff,-46.0,1,2.0
1029,M,292500.0,Commercial associate,Higher education,Married,House / apartment,-15363,-3327,1,0,0,0,High skill tech staff,-32.0,2,2.0
1030,F,29250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20086,0,1,0,0,0,,-6.0,2,1.0
1031,F,56250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23773,0,1,0,1,0,,-57.0,1,2.0
1032,M,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12953,-1737,1,1,1,0,Laborers,-30.0,1,2.0
1033,F,315000.0,Working,Higher education,Married,House / apartment,-13592,-3504,1,0,1,1,Accountants,-20.0,1,2.0
1034,M,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14477,-293,1,1,1,0,Drivers,-14.0,2,2.0
1035,F,180000.0,State servant,Secondary / secondary special,Married,House / apartment,-14574,-964,1,0,1,1,Medicine staff,-59.0,1,1.0
1036,M,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10530,-2328,1,0,0,0,Laborers,-1.0,1,1.0
1037,M,225000.0,State servant,Higher education,Married,Co-op apartment,-14536,-3415,1,0,1,0,Managers,-9.0,1,2.0
1038,M,225000.0,State servant,Higher education,Married,With parents,-10937,-1539,1,0,0,0,High skill tech staff,-13.0,1,2.0
1039,M,315000.0,Commercial associate,Higher education,Married,House / apartment,-21576,-1022,1,0,0,0,Drivers,-3.0,2,1.0
1040,F,67500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21516,0,1,0,0,0,,-17.0,0,2.0
1041,F,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14438,-235,1,0,0,0,Sales staff,-39.0,0,2.0
1042,F,315000.0,Working,Secondary / secondary special,Separated,House / apartment,-15256,-3291,1,0,0,0,Laborers,-42.0,1,0.0
1043,F,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18580,-1800,1,0,0,0,Managers,-44.0,0,2.0
1044,M,157500.0,Working,Secondary / secondary special,Married,House / apartment,-20831,-2423,1,0,0,0,Drivers,-32.0,1,2.0
1045,F,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10438,-2264,1,0,1,0,,-47.0,1,2.0
1046,F,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14461,-1589,1,0,1,0,Laborers,-11.0,0,1.0
1047,F,81000.0,Pensioner,Higher education,Single / not married,House / apartment,-23291,0,1,0,1,0,,0.0,0,1.0
1048,F,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23026,0,1,0,0,0,,-45.0,1,2.0
1049,F,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15435,-249,1,0,0,0,Laborers,-50.0,2,2.0
1050,M,292500.0,State servant,Secondary / secondary special,Separated,Office apartment,-17967,-4937,1,0,0,0,Managers,-15.0,1,2.0
1051,M,139500.0,Working,Secondary / secondary special,Married,Rented apartment,-8682,-869,1,1,0,0,High skill tech staff,-26.0,0,2.0
1052,F,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22689,0,1,0,0,0,,-9.0,1,2.0
1053,F,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10445,-249,1,0,0,0,Laborers,-5.0,1,2.0
1054,M,180000.0,Working,Secondary / secondary special,Separated,Municipal apartment,-17470,-8298,1,0,0,0,Laborers,-5.0,0,1.0
1055,F,157500.0,Working,Incomplete higher,Married,House / apartment,-12402,-917,1,1,0,0,Managers,-23.0,0,2.0
1056,F,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24665,0,1,0,0,0,,-35.0,1,2.0
1057,F,292500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-22720,0,1,0,1,0,,-9.0,1,2.0
1058,M,135000.0,Working,Higher education,Civil marriage,House / apartment,-19322,-663,1,1,1,0,Laborers,-13.0,2,1.0
1059,F,225000.0,Working,Higher education,Widow,House / apartment,-20538,-5525,1,1,0,0,Sales staff,-5.0,1,2.0
1060,F,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23594,0,1,0,0,0,,-45.0,1,2.0
